cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
40,US,1553563649,57,57,-155.08,298.15,4.1
75,AR,1553562000,65,65,-68.31,281.15,12.3
20,BR,1553563703,83,83,-38.6,300.37,1.81
88,NZ,1553563809,94,94,168.86,288.71,2.24
0,EC,1553563814,78,78,-90.35,300.15,4.1
92,AU,1553563811,97,97,116.85,298.637,5.46
8,BR,1553563749,94,94,-35.22,297.988,2.11
0,RU,1553563878,97,97,147.9,255.387,3.06
92,ZA,1553563879,100,100,27.91,293.587,8.11
0,GB,1553563627,77,77,-1.8,277.15,3.6
32,RU,1553563879,72,72,108.01,264.887,2.41
20,MX,1553563674,58,58,-101.42,298.138,3.96
40,CA,1553562000,65,65,-74.86,257.15,4.6
20,DZ,1553560200,100,100,2.77,284.15,2.6
75,CA,1553562000,64,64,-68.59,255.15,9.3
0,MG,1553563881,90,90,45.06,294.637,3.01
92,BR,1553563881,100,100,-51.99,294.587,0.71
92,RU,1553563881,95,95,88.39,270.487,6.91
36,TZ,1553563684,91,91,33.68,287.238,1.06
0,ZA,1553563882,89,89,22.13,283.287,5.51
100,UY,1553563882,84,84,-53.46,291.637,4.56
75,AU,1553563816,44,44,147.33,288.15,4.6
0,IN,1553563883,100,100,72.64,301.637,0.56
44,AU,1553563843,86,86,135.86,292.037,3.56
1,US,1553563882,59,59,-86.09,280.15,2.1
20,US,1553563647,31,31,-73.75,275.37,3.6
90,CL,1553562000,87,87,-71.34,287.15,1.0
75,MX,1553563816,35,35,-107.36,303.15,5.7
92,RU,1553563884,97,97,40.45,273.337,4.06
88,RU,1553563884,52,52,153.71,252.987,3.56
0,SD,1553563885,23,23,26.69,292.637,5.96
1,CA,1553563879,49,49,-73.48,271.48,4.1
90,US,1553563867,81,81,-74.98,281.15,4.6
0,ZA,1553563691,72,72,18.42,290.93,10.3
64,BR,1553563886,98,98,-39.92,297.587,1.61
40,ID,1553562000,83,83,100.36,300.15,1.0
40,CL,1553563348,61,61,-70.91,281.15,7.7
90,CA,1553563694,83,83,-114.38,273.71,4.6
80,CD,1553563887,97,97,19.59,295.787,1.06
1,US,1553561640,30,30,-109.2,278.15,3.1
76,NG,1553563888,94,94,7.07,296.887,2.06
8,PE,1553563888,97,97,-76.97,293.737,0.86
0,PE,1553563888,75,75,-80.82,296.087,4.76
92,LR,1553563889,100,100,-11.37,300.737,3.16
100,ZA,1553563889,97,97,32.06,294.337,5.96
8,ID,1553563889,67,67,123.06,303.787,0.61
90,US,1553563618,100,100,-75.98,288.15,5.1
0,SE,1553563710,74,74,12.29,277.59,4.6
12,NE,1553563890,21,21,7.99,294.987,4.46
0,CL,1553562000,93,93,-73.25,284.15,1.5
92,NG,1553563890,92,92,6.26,297.487,1.81
12,AU,1553563891,65,65,148.22,286.787,3.06
88,RU,1553563891,98,98,80.55,271.887,6.31
75,AU,1553563876,44,44,147.06,288.15,4.6
1,US,1553563822,51,51,-120.46,292.04,4.1
75,BN,1553562000,70,70,115.24,303.15,3.1
8,ZA,1553563892,95,95,26.89,291.737,4.56
90,CA,1553562000,65,65,-110.9,278.15,2.6
20,HR,1553563803,93,93,16.78,278.15,2.6
64,PF,1553563893,100,100,-134.97,297.587,4.26
32,ZA,1553562977,82,82,20.04,291.15,1.5
32,ZA,1553563826,96,96,19.24,290.93,2.86
8,PF,1553563894,100,100,-139.03,301.287,6.46
0,CN,1553562000,18,18,114.65,288.15,1.0
75,CA,1553562000,56,56,-126.83,279.15,6.7
80,RU,1553563895,80,80,69.13,275.137,6.61
12,UA,1553563895,91,91,27.69,274.087,4.56
75,BO,1553562000,52,52,-66.16,292.15,6.7
0,EG,1553562000,76,76,31.81,286.15,4.6
88,GL,1553561400,86,86,-37.64,270.15,15.9
20,BR,1553563897,77,77,-46.0,293.637,1.11
0,AR,1553563790,100,100,-67.52,283.238,3.41
0,AU,1553563693,68,68,138.6,288.738,3.01
0,AR,1553563898,82,82,-65.11,282.537,3.86
90,US,1553563703,78,78,-159.32,299.15,5.7
8,AU,1553562000,52,52,128.74,306.15,3.6
0,PT,1553563631,77,77,-8.45,289.26,3.6
76,CK,1553562000,83,83,-159.78,302.15,3.1
1,US,1553563689,35,35,-86.19,279.15,3.6
75,TR,1553561400,75,75,40.52,278.15,2.6
24,TL,1553563900,83,83,125.41,299.337,0.76
0,AU,1553562000,29,29,130.99,297.15,6.7
0,AU,1553563817,26,26,150.85,295.93,6.7
0,RU,1553563901,65,65,111.51,260.687,1.76
90,US,1553563581,75,75,-100.77,282.59,4.1
0,FR,1553563891,77,77,-2.56,278.15,3.6
44,RU,1553563901,86,86,76.66,272.137,4.11
0,ZA,1553563901,87,87,24.73,287.587,2.51
68,BR,1553563902,92,92,-39.33,293.537,1.06
0,GY,1553562000,88,88,-58.16,300.15,2.1
92,PG,1553563903,84,84,149.55,300.687,2.56
44,PG,1553563903,100,100,155.63,299.737,1.61
